step,current,temp,soc,soh
0,14.691223050530457,27.158320347204373,0.9975514628249116,1.0
1,0.7660743508210066,26.948357011593796,0.9974237837664414,1.0
2,15.037945674572956,29.01491941154849,0.9949174594873459,1.0
3,15.648435744600151,31.062162882922436,0.9923093868632459,1.0
4,14.262831267238454,32.49023015220734,0.9899322483187062,1.0
5,3.098547948688819,31.83721713088984,0.9894158236605913,1.0
6,13.631206435332832,33.01159330662745,0.9871439559213692,1.0
7,9.60153365764302,33.13232846175322,0.985543700311762,1.0
8,1.9047278885372654,32.35537549887161,0.9852262456636725,1.0
9,3.359249298813074,31.73268350750021,0.984666370780537,1.0
10,9.397477970817214,31.942541078870136,0.9831001244520674,1.0
11,12.512273667882104,32.81385689438288,0.9810147455074204,1.0
12,17.928009296883243,35.246606378435914,0.9780267439579399,1.0
13,3.9204000554003127,34.37564110653615,0.9773733439487065,1.0
14,15.00546157364932,35.6897157662652,0.9748724336864316,1.0
15,8.887164126063213,35.410561051674534,0.9733912396654211,1.0
16,10.185640015599475,35.40697757178089,0.9716936329961545,1.0
17,6.156647237304769,34.74532286664893,0.9706675251232704,1.0
18,18.00462245607783,37.012454877843055,0.967666754713924,1.0
19,8.441427773030084,36.523786418531586,0.9662598500850857,1.0
20,6.222325008911533,35.758581061843685,0.9652227959169338,1.0
21,18.508458163191086,38.10835319144526,0.9621380528897353,1.0
22,9.92506633468523,37.782587289779755,0.9604838751672877,1.0
23,13.027520300901397,38.20149141270576,0.9583126217838042,1.0
24,17.83088490650245,40.06074683692455,0.9553408076327204,1.0
25,1.7057465314472653,38.58376786552754,0.9550565165441459,1.0
26,6.09323203971295,37.59666584587263,0.9540409778708604,1.0
27,7.969020554878865,36.97205214732618,0.9527128077783806,1.0
28,7.21801951133592,36.29584498925382,0.9515098045264914,1.0
29,19.0765432705561,38.80540552186243,0.9483303806480653,1.0
30,12.721079760310044,39.043123672357886,0.9462102006880136,1.0
31,19.08560863766453,41.28141587582304,0.9430292659150695,1.0
32,5.754183316711609,39.98438054466396,0.9420702353622843,1.0
33,4.66423405428772,38.70349328332934,0.941292863019903,1.0
34,6.311859245897795,37.73153962639666,0.94024088647892,1.0
35,18.41449935426995,39.849323528441076,0.9371718032532084,1.0
36,13.848417679043568,40.28217789772943,0.9348637336400344,1.0
37,10.053556228176499,39.76470003628756,0.9331881409353383,1.0
38,4.861303544541924,38.52455275418056,0.9323779236779146,1.0
39,15.60208508281245,39.60634806807569,0.9297775761641125,1.0
40,12.480617243043358,39.703371328941635,0.927697473290272,1.0
41,4.403103300127773,38.42690738276343,0.9269636227402507,1.0
42,10.584936225858213,38.204625393541946,0.9251994667026077,1.0
43,13.625356463685346,38.74066624181267,0.9229285739586601,1.0
44,10.05096008415684,38.37681760376454,0.921253413944634,1.0
45,1.975789444246363,37.07817328266804,0.9209241157039263,1.0
46,19.75698203122977,39.773739344224595,0.917631285365388,1.0
47,10.838003701220893,39.470988652078915,0.9158249514151845,1.0
48,10.266753738540368,39.07795211014935,0.9141138257920944,1.0
49,4.988512713607505,37.919009490072646,0.9132824070064932,1.0
50,14.805347172086805,38.81909158992557,0.9108148491444787,1.0
51,9.457945674768764,38.33170979480178,0.9092385248653506,1.0
52,16.43205991377635,39.698664745420956,0.9064998482130545,1.0
53,9.84942834071367,39.1989106572674,0.9048582768229356,1.0
54,9.081096013364869,38.60368263958017,0.9033447608207081,1.0
55,4.992212215120555,37.492536203630145,0.9025127254515214,1.0
56,10.928935567039277,37.43769890955209,0.9006912361903482,1.0
57,7.982736675701194,36.83116986693273,0.8993607800777313,1.0
58,16.54646110775539,38.38590663214408,0.8966030365597721,1.0
59,5.2226136375576,37.320072901001694,0.8957326009535126,1.0
60,7.784228369211457,36.69400772394189,0.894435229558644,1.0
61,4.591382461634015,35.735414880637705,0.8936699991483716,1.0
62,2.2280041859999256,34.71151341910227,0.8932986651173717,1.0
63,13.598318599430687,35.58950476450827,0.8910322786841333,1.0
64,14.806145412263838,36.72277370774846,0.8885645877820892,1.0
65,9.76795825131438,36.50462642096782,0.8869365947402035,1.0
66,4.938522395593898,35.59805381338886,0.8861135076742711,1.0
67,4.962016040937369,34.78446446395517,0.8852865050007815,1.0
68,2.1112844103469186,33.85059323617339,0.8849346242657237,1.0
69,18.068505949466136,36.23024298501498,0.8819232066074794,1.0
70,8.162172244292876,35.773429243968536,0.8805628445667639,1.0
71,3.7009794238224125,34.83305880652725,0.8799460146627935,1.0
72,1.0426236852668769,33.860623567365316,0.8797722440485823,1.0
73,3.271956427559002,33.08161819926723,0.8792269179773226,1.0
74,1.586751781765019,32.298634191509855,0.8789624593470284,1.0
75,16.389100394679396,34.254796889827674,0.8762309426145819,1.0
76,11.322857216669602,34.61138815633578,0.874343799745137,1.0
77,11.454387498181251,34.96227927028711,0.8724347351621068,1.0
78,9.961489393164767,34.958364052559745,0.8707744869299127,1.0
79,14.724313267835461,36.13058165939732,0.8683204347186068,1.0
80,8.165149144468607,35.68422009897176,0.866959576527862,1.0
81,19.99878041316276,38.61531026921361,0.8636264464590016,1.0
82,2.62248014342767,37.32255326331897,0.8631893664350969,1.0
83,2.5722143167938905,36.15646080190227,0.8627606640489646,1.0
84,11.222416486539766,36.30024103968564,0.8608902613012079,1.0
85,14.418945063952984,37.249276703290015,0.8584871037905492,1.0
86,13.787648215542625,37.92534146611657,0.8561891624212921,1.0
87,19.797640282611003,40.552272927101534,0.8528895557075236,1.0
88,2.2816827837993037,39.04910639765024,0.852509275243557,1.0
